Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen
10340	115.125	60.598007	205.1	0.8499997	40.0
10360	133.31	43.92078	222.15	20.55	40.0
10380	160.4	33.65733	205.2	69.75	40.0
10400	115.692505	55.004078	178.95	-11.450001	40.0
10420	131.98502	50.91128	205.25	9.15	40.0
10440	148.9075	42.30028	214.55	25.1	40.0
10460	137.9925	40.719505	191.5	53.25	40.0
10480	163.95999	29.125135	207.5	90.0	40.0
10500	167.1575	25.506153	205.15	98.6	40.0
10520	152.62248	34.805817	199.2	74.65	40.0
10540	146.0875	39.585583	199.65	60.15	40.0
10560	149.48	33.44633	208.85	95.75	40.0
10580	146.755	37.87053	191.95	28.05	40.0
10600	137.93253	43.4827	189.0	57.0	40.0
10620	140.7875	45.805202	203.1	40.05	40.0
10640	155.77249	28.838606	191.2	97.049995	40.0
10660	144.8375	40.12323	189.6	54.65	40.0
10680	147.0	28.758823	189.9	77.75	40.0
10700	133.4025	38.612385	197.3	50.8	40.0
10720	116.16499	38.5478	174.65	46.25	40.0
10740	125.259995	36.8937	185.4	15.8	40.0
