Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
7980	476.73755	172.72272	623.0	59.649998	80.0	3 h 45 min
8000	500.83258	172.23534	617.25	-12.700002	80.0	3 h 46 min
8020	481.7375	185.96175	619.7	-59.300003	80.0	3 h 46 min
8040	566.32007	87.613884	624.35	293.15	80.0	3 h 47 min
8060	550.30505	124.379074	679.2	127.9	77.0	3 h 47 min
8080	581.59503	72.76483	619.55	290.6	80.0	3 h 48 min
8100	498.91498	188.46527	689.7	9.999998	77.7	3 h 48 min
8120	546.9425	100.24605	618.8	279.65	80.0	3 h 49 min
8140	530.86743	150.20251	621.35	162.3	80.0	3 h 50 min
8160	541.36755	124.58935	620.35	175.55	80.0	3 h 50 min
8180	518.02246	131.58382	625.9	152.95	80.0	3 h 51 min
8200	441.74	193.53418	620.15	18.199999	80.0	3 h 51 min
8220	477.6525	165.61339	620.8	162.15	80.0	3 h 52 min
8240	473.965	192.22891	618.85	10.249999	80.0	3 h 52 min
8260	519.85004	175.00899	677.25	62.949997	78.05	3 h 53 min
