Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
106	753.1813	116.714134	845.1	338.6	100.0	1712.0	0.0	-4.1909516e-09	11.644886	-0.004109576	-0.24568284	1.2040764	0.0034901544	0.029424999	49.0	39404.55426621437
107	722.7656	215.91837	863.3	18.199995	100.0	1728.0	0.0	-1.8626451e-09	12.764206	-0.0039048442	-0.5594746	1.1849176	0.0030078758	0.02616	49.0	39475.84945559502
108	700.1062	324.90048	894.3	-331.95	100.0	1744.0	0.0	-5.5879354e-09	15.577223	-0.0041270843	-0.8909795	1.1890054	0.0035762028	0.027195	49.0	39553.9931602478
109	822.3312	49.541767	910.0	695.89996	100.0	1760.0	10.0	-1.1641532e-08	12.26282	-0.0038197623	-0.92289615	1.1897141	0.003743539	0.029169999	49.0	39656.70982837677
110	859.8781	58.35587	934.95	701.25	100.0	1776.0	24.0	-5.122274e-09	11.294703	-0.0038486351	-0.37579072	1.1990272	0.0038136556	0.0317	49.0	39787.47753882408
111	821.33435	108.48899	941.3	501.15	100.0	1792.0	0.0	-2.7939677e-09	11.106485	-0.004236116	-0.42690134	1.1833999	0.0035684663	0.03223	49.0	39857.21403169632
112	879.54065	31.921022	946.6	815.75	100.0	1808.0	44.0	-4.656613e-09	10.826916	-0.004328834	-0.3047762	1.1908195	0.004216616	0.032935	49.0	40040.20994091034
113	861.70935	181.0507	991.64996	200.54999	100.0	1824.0	0.0	-3.7252903e-09	12.573289	-0.0040283147	-0.64166534	1.1807637	0.0033136057	0.031185001	49.0	40110.17293906212
114	932.2656	38.588516	1001.7	858.3	100.0	1840.0	10.0	-2.2118911e-09	11.199394	-0.004106899	-0.43660665	1.1740485	0.0035385285	0.0301	49.0	40206.499975681305
115	928.7875	90.994835	1094.45	641.89996	100.0	1856.0	24.0	7.916242e-09	11.533589	-0.004648512	-0.30781734	1.1866708	0.003881128	0.034780003	49.0	40340.47986149788
116	927.28125	171.80415	1074.2	454.9	100.0	1872.0	0.0	-2.7939677e-09	15.636327	-0.0040947692	-0.6602894	1.16317	0.0032720629	0.03184	49.0	40411.0076584816
117	1004.05	77.64513	1099.5	769.64996	100.0	1888.0	98.0	-1.1059456e-09	13.164241	-0.004171633	-0.32036734	1.1668899	0.0038796938	0.029705	49.0	40743.03631925583
118	958.9375	39.217976	1009.7	870.5	100.0	1904.0	0.0	4.4237822e-09	10.701492	-0.004182877	-0.4914329	1.1731651	0.003567231	0.034605	49.0	40819.832407951355
119	1031.25	61.99555	1109.9	891.8	100.0	1920.0	34.0	-7.916242e-09	11.614813	-0.0046487823	-0.27632344	1.1545064	0.0034869479	0.032810003	49.0	40988.3159263134
120	1066.9688	58.216873	1159.9	931.89996	100.0	1936.0	117.0	-3.958121e-09	12.389825	-0.0045800414	-0.44921744	1.1747323	0.0035440538	0.031965002	49.0	41375.94614458084
121	1102.4501	46.853767	1182.5	1029.1	100.0	1952.0	221.0	4.656613e-10	12.126848	-0.0048049795	-0.48444808	1.1694072	0.0038058385	0.03502	49.0	42028.82800531387
122	1082.2031	54.913902	1199.4	980.6	100.0	1968.0	17.0	-6.519258e-09	12.03023	-0.0051746396	-0.46968257	1.173086	0.0039636274	0.03559	49.0	42143.5603351593
123	1078.9062	50.45526	1158.4	958.7	100.0	1984.0	0.0	-5.5879354e-09	11.190922	-0.004915664	-0.32729268	1.1623178	0.0034908648	0.029485	49.0	42214.476700782776
